# num_particles	freq	label	interaction	slope
6	0.28	add	''	0.0002185177959792533
6	0.28	rm	''	-5.030024018631697e-05
12	0.28	add	''	0.00014214877143245867
12	0.28	rm	''	-8.153948254962207e-05
20	0.28	add	''	0.00021321672008027857
20	0.28	rm	''	-0.0001698382257726029
6	1.0	add	''	-2.8878701751284293e-05
6	1.0	rm	''	-0.00014130466828662377
12	1.0	add	''	-7.279406155356375e-05
12	1.0	rm	''	-0.0001452778415265201
20	1.0	add	''	-9.727993384750075e-05
20	1.0	rm	''	-0.00018938342305716552
6	0.28	add	'_sigmaA=0.5_sigmaB=4.0'	-7.227399647114836e-06
6	0.28	rm	'_sigmaA=0.5_sigmaB=4.0'	-1.401623643662756e-05
12	0.28	add	'_sigmaA=0.5_sigmaB=4.0'	-1.0723366933199078e-05
12	0.28	rm	'_sigmaA=0.5_sigmaB=4.0'	-1.409374052909216e-05
20	0.28	add	'_sigmaA=0.5_sigmaB=4.0'	-0.00016083905032792666
20	0.28	rm	'_sigmaA=0.5_sigmaB=4.0'	-2.738954681467145e-05
6	1.0	add	'_sigmaA=0.5_sigmaB=4.0'	-5.679382371980628e-06
6	1.0	rm	'_sigmaA=0.5_sigmaB=4.0'	-7.862928015871231e-06
12	1.0	add	'_sigmaA=0.5_sigmaB=4.0'	-6.619986349876433e-06
12	1.0	rm	'_sigmaA=0.5_sigmaB=4.0'	-7.649387710360259e-06
20	1.0	add	'_sigmaA=0.5_sigmaB=4.0'	-6.8225761997585666e-06
20	1.0	rm	'_sigmaA=0.5_sigmaB=4.0'	-9.044690965845521e-06
6	0.28	add	'_sigmaA=0.5'	-8.283304525782458e-06
6	0.28	rm	'_sigmaA=0.5'	-1.4540611601154928e-05
12	0.28	add	'_sigmaA=0.5'	-1.1028635063793428e-05
12	0.28	rm	'_sigmaA=0.5'	-1.3593492498646906e-05
20	0.28	add	'_sigmaA=0.5'	-7.270483196716668e-05
20	0.28	rm	'_sigmaA=0.5'	-1.9563143699892587e-05
6	1.0	add	'_sigmaA=0.5'	-6.22700228503654e-06
6	1.0	rm	'_sigmaA=0.5'	-8.318917500184574e-06
12	1.0	add	'_sigmaA=0.5'	-6.9899204078129236e-06
12	1.0	rm	'_sigmaA=0.5'	-7.913213111889139e-06
20	1.0	add	'_sigmaA=0.5'	-6.877454285869342e-06
20	1.0	rm	'_sigmaA=0.5'	-8.79792337394138e-06
6	0.28	add	'_sigmaB=4.0'	0.00028085901636091404
6	0.28	rm	'_sigmaB=4.0'	-3.713579208150876e-05
12	0.28	add	'_sigmaB=4.0'	0.0002205230397583107
12	0.28	rm	'_sigmaB=4.0'	-7.668724718829654e-05
20	0.28	add	'_sigmaB=4.0'	0.00012347724562726726
20	0.28	rm	'_sigmaB=4.0'	-0.00025419922478232956
6	1.0	add	'_sigmaB=4.0'	-1.667383991116066e-05
6	1.0	rm	'_sigmaB=4.0'	-0.00014060019700943348
12	1.0	add	'_sigmaB=4.0'	-6.15806367844041e-05
12	1.0	rm	'_sigmaB=4.0'	-0.0001469661106503441
20	1.0	add	'_sigmaB=4.0'	-9.622937365463401e-05
20	1.0	rm	'_sigmaB=4.0'	-0.0001965920748856094
